label,path,platform,active_duration_s,periodic_count_delta,effective_hz,usable_flight_effective_hz,effective_period_us,period_dt_mean_us,period_dt_median_us,period_dt_p95_us,period_dt_p99_us,period_dt_max_us,inference_mean_us,inference_median_us,inference_p95_us,inference_p99_us,inference_max_us,sensor_read_mean_us,total_mean_us,total_median_us,total_p95_us,total_p99_us,total_max_us,estimated_compute_utilization_percent,inference_share_of_total_percent,sampled_total_over_period_count,sampled_total_period_pairs
onboard 081514,var/logs/log_onboard/20260806-081514.csv,onboard,66.468719,1218.0,18.32440911039673,18.138376021726543,54572.018883415425,54584.015831134566,54687.0,56631.2,56646.0,62468.0,46607.355008787345,46584.5,47717.15,47993.04,54011.0,62.570298769771526,46678.98154657293,46658.5,47783.0,48060.04,54121.0,85.5364754716062,99.84655505451822,0,1137
onboard 081857,var/logs/log_onboard/20260806-081857.csv,onboard,139.679619,2567.0,18.377770632378372,18.061003502192726,54413.56408258668,54430.41740599916,54686.0,55805.89999999987,56645.34,62505.0,46537.10515202703,46554.0,47657.0,47965.66,52086.0,60.11317567567568,46606.16089527027,46622.5,47725.3,48038.3,52197.0,85.65173349889993,99.85183129887393,0,2367
onboard 082223,var/logs/log_onboard/20260806-082223.csv,onboard,97.480434,1798.0,18.444727072101465,17.886547862725145,54216.036707452724,54230.45614035088,54684.0,54710.4,56640.0,60545.0,46367.52599758162,46391.0,47410.4,47788.41,52135.0,59.946191051995164,46437.22490931076,46462.5,47481.0,47873.23,52264.0,85.65219394380287,99.84990724173278,0,1653
onboard 082501,var/logs/log_onboard/20260806-082501.csv,onboard,7.386718999999999,410.0,55.50502191839165,55.50502191839165,18016.387804878046,18048.272463768117,17583.0,19538.0,19569.8,19765.0,9868.312138728324,9777.0,10274.75,10434.85,15820.0,64.34682080924856,9941.8612716763,9847.0,10353.5,10542.6,15927.0,55.18232277940022,99.26020761165204,0,345
onboard 082825,var/logs/log_onboard/20260806-082825.csv,onboard,15.082015999999996,831.0,55.09873481104915,55.09873481104915,18149.237063778575,18157.816011235955,17588.0,19538.45,19602.78,23570.0,9881.123422159888,9812.0,10292.0,10504.64,15812.0,61.83870967741935,9952.781206171108,9887.0,10362.4,10571.64,15919.0,54.83856523112157,99.28002251303596,0,712
Gazebo 092641,var/log/nn_cfc_control/20260806-092641.csv,Gazebo,17.214741,1762.0,102.35413939715968,102.35413939715968,9770.000567536888,9760.74843838728,5095.0,30092.0,33056.40000000001,37053.0,944.4971623155506,1112.0,1276.9499999999998,1494.0,2904.0,2.1539792387543253,947.05505107832,1114.0,1280.8999999999996,1499.9499999999994,2909.0,9.693500471485457,99.7299112908107,0,1761
Gazebo 093258,var/log/nn_cfc_control/20260806-093258.csv,Gazebo,42.343181,4334.0,102.35414292563424,102.35414292563424,9770.000230733733,9766.13985691207,5730.0,29793.799999999996,33219.00000000001,37924.0,1107.2413474850023,1324.0,1493.0,1653.6900000000005,3911.0,2.4321935333798557,1110.1640516843563,1327.0,1496.3499999999995,1657.3600000000006,3920.0,11.36298900170018,99.73673222485274,0,4333
Gazebo 095503,var/log/nn_cfc_control/20260806-095503.csv,Gazebo,33.794430000000006,3459.0,102.35414534288637,102.35414534288637,9770.000000000002,9769.744939271255,5794.5,29327.999999999993,31965.72999999998,37720.0,1150.8089043076034,1341.0,1508.0,1685.9800000000014,4571.0,2.3796431705176952,1153.664353859497,1344.0,1512.0,1691.880000000001,4578.0,11.808232895184204,99.7524887076262,0,3458
